ID,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline length (m),C/P Ratio,Distance to coastline (m. mean),Distance to coastline (m. stdev),Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Population 2010 census,Population 2013 est.,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Houses damaged,rain_oct18-20,rain oct11-18
,1,PHL,PH010000000,PH012801000,ADAMS,111.185,,,,,,,,,,,,,,1792,16.11728201,10.10044643,120,31.47289916,,340.3829533,,,,,,258.8837468,81.49920651
,2,PHL,PH010000000,PH012802000,BACARRA,55.346,,,,,,,,,,,,,,32215,582.0655513,2.07046407,110,0.347622594,,280.6850933,,,,,,189.4305894,91.25450391
,3,PHL,PH010000000,PH012803000,BADOC,80.758,,,,,,,,,,,,,,31616,391.4906263,4.991143725,90.0175243,41.42540656,,379.5713127,,,,,,268.1706933,111.4006195
,4,PHL,PH010000000,PH012804000,BANGUI,115.126,,,,,,,,,,,,,,14672,127.4429755,3.748636859,121.3063623,28.00790106,,369.1035358,,,,,,272.4008671,96.70266871
,5,PHL,PH010000000,PH012805000,CITY OF BATAC,158.252,,,,,,,,,,,,,,55201,348.8170766,3.224579265,99.47106026,24.86817334,,315.5452297,,,,,,216.3019868,99.24324286
,6,PHL,PH010000000,PH012806000,BURGOS,137.204,,,,,,,,,,,,,,9777,71.25885543,3.917357062,123.4759738,22.77919939,,385.7506431,,,,,,283.9091224,101.8415207
,7,PHL,PH010000000,PH012807000,CARASI,173.135,,,,,,,,,,,,,,1567,9.050740751,3.956604978,113.3236507,5.382585093,,356.545834,,,,,,239.4853413,117.0604927
,8,PHL,PH010000000,PH012808000,CURRIMAO,33.405,,,,,,,,,,,,,,12184,364.735818,3.373276428,98.30931641,31.19780947,,357.6252714,,,,,,255.6052161,102.0200553
,9,PHL,PH010000000,PH012809000,DINGRAS,108.434,,,,,,,,,,,,,,38562,355.626464,4.377366319,102.5564992,15.16365853,,319.5589885,,,,,,212.1523346,107.4066539
,10,PHL,PH010000000,PH012810000,DUMALNEG,66.78,,,,,,,,,,,,,,2947,44.12997904,2.409229725,120,30.42202172,,356.3037609,,,,,,267.8354838,88.46827718
,11,PHL,PH010000000,PH012811000,BANNA (ESPIRITU),91.199,,,,,,,,,,,,,,19438,213.138302,4.496347361,98.05710043,29.01207911,,356.3454165,,,,,,236.6660774,119.6793391
