,M_Code,Municipality,Area (km2),Population 2010 census,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Rainfallme,Houses damaged,average_speed_mph,distance_typhoon_km,typhoon_name,perc_house_damage
1,PH054120000,SAN PASCUAL,256.25,,46674.0,182.142439,8.617217294,256.0356529,508.0,89.2385015453,45.6654193882,Rammasun,0.0108840039422
3,PH050505000,JOVELLAR,80.529,,17308.0,214.9287834,10.39981511,249.6055107,565.0,97.9440578394,28.7856532902,Rammasun,0.0326438641091
4,PH050503000,DARAGA (LOCSIN),123.965,,126595.0,1021.215666,4.217386153,249.6000061,91.0,108.92723896,18.5836952378,Rammasun,0.00071882775781
6,PH050504000,GUINOBATAN,175.45,,82361.0,469.4271872,6.456939571,248.0477352,2406.0,114.198170575,15.8142819057,Rammasun,0.0292128555991
8,PH050508000,CITY OF LIGAO,246.894,,111399.0,451.2017303,5.798077182,245.4720736,572.0,113.425678234,17.0483019937,Rammasun,0.00513469600266
10,PH031404000,BOCAUE,26.364,,119675.0,4539.33394,1.968665135,240.0,5.0,60.0,77.8211365618,Rammasun,4.17798203468e-05
13,PH031410000,CITY OF MALOLOS (Capital),70.877,,252074.0,3556.499287,1.243682411,240.0,7.0,57.2615762869,79.3404539732,Rammasun,2.77696232059e-05
15,PH031416000,PAOMBONG,45.313,,53294.0,1176.13047,2.536870942,240.0,53.0,59.5630609313,76.0230511606,Rammasun,0.000994483431531
19,PH050507000,LIBON,223.553,,75172.0,336.2603052,7.127653914,237.8509124,381.0,117.896580106,13.8989584737,Rammasun,0.00506837652317
21,PH084802000,BIRI,26.012,,11767.0,452.3681378,8.447352766,237.6000061,1984.0,80.0,45.7040256234,Rammasun,0.168607121611
36,PH051702000,BALATAN,57.938,,30922.0,533.708447,7.124377466,230.0687017,2800.0,124.913103937,7.14832447557,Rammasun,0.0905504171787
38,PH051722000,MINALABAC,127.121,,52390.0,412.1270286,5.422790609,228.4373208,5745.0,138.452659671,8.15836163459,Rammasun,0.109658331743
39,PH050506000,LEGAZPI CITY (Capital),157.731,,196639.0,1246.673133,4.421299946,228.2994736,1702.0,108.836617916,18.2844363661,Rammasun,0.00865545491993
41,PH051732000,SAN FERNANDO,84.338,,35258.0,418.0559179,5.655454081,228.1781696,9748.0,138.290948835,6.3777007166,Rammasun,0.276476260707
42,PH050510000,MALINAO,109.273,,45301.0,414.5671849,5.840930664,228.0,8040.0,130.0,8.81586556727,Rammasun,0.177479525838
44,PH051706000,BULA,164.574,,69430.0,421.8770887,5.572519084,227.0512886,5776.0,135.586192079,4.34102462552,Rammasun,0.0831917038744
48,PH051709000,CAMALIGAN,6.163,,24109.0,3911.893558,4.185159069,225.6000061,1906.0,130.0,17.9277993796,Rammasun,0.0790576133394
49,PH051710000,CANAMAN,41.949,,34210.0,815.5140766,5.027769658,225.6000061,4098.0,129.410653726,19.115935291,Rammasun,0.119789535224
50,PH051713000,GAINZA,15.897,,11262.0,708.4355539,5.709465459,225.6000061,1876.0,139.085826168,14.8082194899,Rammasun,0.166577872492
51,PH051721000,MILAOR,32.838,,31150.0,948.5961386,5.50882825,225.6000061,3232.0,135.920797323,16.2747457698,Rammasun,0.103756019262
52,PH051723000,NABUA,86.011,,83874.0,975.1543407,4.578296015,225.6000061,8323.0,130.725799795,0.743445059585,Rammasun,0.0992321816057
53,PH051726000,PAMPLONA,65.626,,36390.0,554.5058361,6.441330036,225.6000061,5260.0,138.977812132,11.1855726357,Rammasun,0.144545204727
54,PH051720000,MAGARAO,37.817,,25694.0,679.429886,5.370903713,225.2088947,2808.0,120.993586829,23.1010637611,Rammasun,0.10928621468
56,PH051705000,BUHI,187.748,,77143.0,410.8858683,6.437395486,224.0252608,7721.0,134.373717455,9.51038082828,Rammasun,0.100086851691
60,PH051716000,IRIGA CITY,139.053,,111757.0,803.7007472,3.775155024,221.6330483,4898.0,135.423121004,9.57106629709,Rammasun,0.0438272322986
61,PH050518000,TIWI,126.758,,53120.0,419.0662522,5.47251506,221.5590939,6262.0,129.386649686,16.0753070317,Rammasun,0.117884036145
62,PH051701000,BAAO,107.951,,58849.0,545.1454827,4.888783157,221.123829,2201.0,139.342857939,10.7106697973,Rammasun,0.0374008054512
63,PH084811000,LAVEZARES,103.5,,28770.0,277.9710145,8.133472367,220.6898328,2253.0,68.5054653868,59.8042357093,Rammasun,0.0783107403545
64,PH045640000,SAN ANDRES,175.396,,35780.0,203.9955301,6.998323086,220.1387592,2129.0,99.9430476974,30.6608298492,Rammasun,0.0595025153717
65,PH050516000,SANTO DOMINGO (LIBOG),54.748,,34967.0,638.6899978,6.114336374,218.2668913,1864.0,128.606889487,2.76402297626,Rammasun,0.0533074041239
66,PH051724000,NAGA CITY,79.737,,196003.0,2458.118565,2.559654699,218.0587296,2180.0,120.003650324,23.6747346939,Rammasun,0.0111222787406
67,PH051707000,CABUSAO,37.197,,18397.0,494.5828965,6.995705822,216.646387,2848.0,117.491653434,26.9761669576,Rammasun,0.154807849106
