,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline Length (m),C/P Ratio,"Distance to coastline (m, mean)","Distance to coastline (m, stdev)",Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Deaths,Houses damaged (REACH),Houses damaged (% Shelter Cluster),Emergency shelter (% planned & reached Shelter Cluster),Support to Self Recovery (% planned & reached Shelter Cluster),OCHA CCCM,OCHA Education,OCHA Early Recovery & Livelyhoods,OCHA Food security and Agriculture,OCHA Nutrition,OCHA Protection,OCHA WASH,Population 2013 Filled,Pop. Density 2013 per km2,Affected density,Poverty (%) Filled,Surge risk,Poor,% Affected
0,3,PHL,PH160300000,PH160314000,Sibagat,647.5615,552.5343739,131639.133,0.0,0.0,27859.8086336,3847.63301381,71.2106043952,40.1397745336,14.387833906,8.48138199737,40,47.75,40,200.665,,377.975690204,1.7979,inland,0,0.0,0,,,,,,,,,,,,31298.7492489,48.3332459525,0.0,47.75,0.0,1494515.27663,0.0
1,7,PHL,PH060400000,PH060401000,Altavas,106.6818,63.28439269,52830.643,5646.39,0.11,4619.25141795,2147.95389637,34.3270980551,26.4417637153,6.73141777726,5.92643550551,20,19.22,190,9.22,,320.302553363,2.4648,inland,28323,118.412140976,0,3324.0,96.0,37.0,17.0,,2122.0,210.0,57374.75,,,,25182.0,236.047760724,265.490458541,19.22,0.0,483998.04,1.12473195139
2,8,PHL,PH060400000,PH060402000,Balete,109.8199,57.86716695,58123.9,0.0,0.0,8069.80837461,3665.09123223,32.6228341773,25.1038246523,6.36404342223,5.64245890948,14,25.59,190,9.055,,281.337157636,2.4979,inland,27045,99.4411148288,0,5409.0,94.0,56.0,35.0,,931.0,150.0,32234.1666667,,,,28633.0,260.726881012,246.266842348,25.59,0.0,732718.47,0.94453951734
3,9,PHL,PH060600000,PH060608000,Hamtic,141.6843,136.1795427,55474.881,15766.12,0.28,4046.8510887,2461.47699101,46.3078635394,30.2336873573,9.37793332149,6.73101405657,20,15.52,76,92.763,,316.629517528,2.5616,low,7633,16.5996129004,0,41.0,7.0,0.0,0.0,,180.0,,95.0,,,,48012.0,338.866056437,53.8732943594,15.52,1.0,745146.24,0.158981088061
4,10,PHL,PH060600000,PH060609000,Laua-An,167.8177,375.9900351,73196.473,12395.55,0.17,7155.45807052,4092.39343733,88.0239008429,53.7767672394,17.2105705502,11.0059141566,20,25.89,158,36.674,,636.0,2.5871,low,23871,94.6848597834,2,1414.0,79.0,0.0,8.0,,180.0,58.0,44682.0,,0.0,,26324.0,156.860688712,142.243636994,25.89,1.0,681528.36,0.906815073697
5,11,PHL,PH060600000,PH060610000,Libertad,93.5513,269.2189327,49429.144,19642.47,0.4,3200.17080974,2154.34140629,71.7704790205,41.1971951155,14.4371836722,8.87315554032,40,21.68,166,27.554,,351.077612697,2.5071,inland,425,2.71236198864,0,715.0,60.0,0.0,0.0,,180.0,,12546.0,,,250.0,16361.0,174.888002625,4.54296198984,21.68,0.0,354706.48,0.0259764073101
6,12,PHL,PH060600000,PH060611000,Pandan,155.3127,201.0139369,67724.427,19655.5,0.29,3843.47244337,2142.57048849,57.8693942323,41.3526039112,11.7306364202,8.95836403988,20,20.88,170,25.812,,378.618524471,2.5013,medium,24205,74.4906752016,2,1122.0,46.0,0.0,0.0,,0.0,,20186.0,,,,33928.0,218.449618093,155.846881807,20.88,2.0,708416.64,0.713422541853
7,13,PHL,PH060600000,PH060612000,Patnongon,137.4639,136.0121913,47546.873,17113.71,0.36,4621.14217142,2996.1327541,50.6204028142,36.4303999222,10.3940878304,7.84562215215,20,26.38,104,63.738,,385.0,2.569,low,2015,5.74041365164,0,292.0,29.0,0.0,0.0,,332.0,,4000.0,,,,36651.0,266.622727858,14.6583939492,26.38,1.0,966853.38,0.05497803607
8,14,PHL,PH060600000,PH060613000,San Jose,44.8361,13.67447217,36252.178,16552.23,0.46,1940.37701,1393.78775965,8.4847773898,10.3924318884,1.48134052385,2.14777702774,14,8.3,85,82.075,,333.743524368,2.5998,low,13849,23.9407402285,0,68.0,7.0,0.0,0.0,,,,160.0,,0.0,,60400.0,1347.12876454,308.880567222,8.3,1.0,501320.0,0.22928807947
9,15,PHL,PH060600000,PH060614000,San Remigio,375.7771,504.1782194,89959.354,0.0,0.0,18626.9979383,4909.18902359,72.3827064559,43.151779079,14.8133712053,8.85155330048,20,35.88,103,63.151,,367.202301201,2.4678,inland,51394,168.803783748,0,188.0,23.0,0.0,0.0,,440.0,,,,,,31790.0,84.5980236688,136.767248457,35.88,0.0,1140625.2,1.61667190941
