M_Code,Predicted Houses Damaged,priority,Municipality,Houses damaged (REACH)
PH060401000,4388.64987445,5,Altavas,3324.0
PH060402000,4638.40226857,5,Balete,5409.0
PH060608000,222.837614355,2,Hamtic,41.0
PH060609000,1503.24796877,4,Laua-An,1414.0
PH060610000,1796.81952372,4,Libertad,715.0
PH060611000,2737.77511162,4,Pandan,1122.0
PH060612000,669.23254671,3,Patnongon,292.0
PH060613000,438.52433476,3,San Jose,68.0
PH060614000,369.048671191,3,San Remigio,188.0
PH060615000,3651.29504419,5,Sebaste,885.0
PH060403000,3877.20967345,5,Banga,4673.0
PH060404000,4114.58764296,5,Batan,4046.0
PH060405000,2162.93463257,4,Buruanga,282.0
PH060406000,2908.30489747,4,Ibajay,671.0
PH060407000,3914.7365286,5,Kalibo,2717.0
PH060408000,1019.58643797,4,Lezo,768.0
PH060409000,4457.25580775,5,Libacao,3122.0
PH060410000,4179.37629989,5,Madalag,2138.0
PH060411000,2535.1677139,4,Makato,1144.0
PH060412000,1062.88347161,4,Malay,158.0
PH060413000,3964.04695718,5,Malinao,1126.0
PH060414000,1920.24189891,4,Nabas,660.0
PH060415000,3544.24959143,5,New Washington,3672.0
PH060416000,1688.1632756,4,Numancia,1043.0
PH060417000,2014.46812673,4,Tangalan,591.0
PH050515000,333.567335819,2,Rapu-Rapu,56.0
PH050516000,186.890399563,2,Santo Domingo,8.0
PH060601000,39.6663836629,1,Anini-Y,16.0
PH060602000,2036.36075607,4,Barbaza,2500.0
PH060603000,281.885520031,2,Belison,35.0
PH060604000,948.951826131,3,Bugasong,1015.0
PH060605000,1766.03797775,4,Caluya,735.0
PH060606000,4902.92057579,5,Culasi,2369.0
PH060616000,211.099529704,2,Sibalom,85.0
PH060617000,3165.245024,4,Tibiao,2670.0
PH060607000,171.183553963,2,Tobias Fornier,15.0
PH060618000,552.799881986,3,Valderrama,546.0
PH041003000,0.0,1,Balayan,14.0
PH086401000,327.144231991,2,Anahawan,20.0
PH086402000,760.37071306,3,Bontoc,40.0
PH086403000,720.601614747,3,Hinunangan,178.0
PH086404000,317.594722241,2,Hinundayan,117.0
PH086405000,480.147971968,3,Libagon,11.0
PH086406000,62.699212789,1,Liloan,25.0
PH086419000,7.47280872252,1,Limasawa,2.0
PH086407000,0.0,1,Maasin City,5.0
PH086408000,0.0,1,Macrohon,16.0
PH072248000,4416.89588478,5,Tabogon,1499.0
PH072249000,2319.56597977,4,Tabuelan,2175.0
PH072250000,39.1597336732,1,Talisay City,30.0
PH072252000,1323.01508444,4,Tuburan,622.0
PH072253000,1093.19794443,4,Tudela,248.0
PH175201000,32.4337384824,1,Baco,28.0
PH175202000,0.0,1,Bansud,34.0
PH175203000,398.433973759,3,Bongabong,35.0
PH175204000,231.946886654,2,Bulalacao,144.0
PH175205000,0.0,1,Calapan City,2.0
PH175207000,592.221942784,3,Mansalay,14.0
PH041013000,0.0,1,Lian,14.0
PH087801000,298.512222755,2,Almeria,422.0
PH087802000,626.034697271,3,Biliran,1261.0
PH087803000,661.473250769,3,Cabucgayan,1177.0
PH087804000,393.397531351,3,Caibiran,392.0
PH087805000,329.89282129,2,Culaba,107.0
PH087806000,323.942024731,2,Kawayan,1158.0
PH087807000,122.745027384,2,Maripipi,62.0
PH087808000,339.94253496,2,Naval,1658.0
PH071209000,383.943538214,3,Buenavista,1.0
PH071217000,50.3580902326,1,Dagohoy,3.0
PH071220000,48.5148354997,1,Dimiao,2.0
PH071224000,224.563583956,2,Inabanga,30.0
PH071238000,76.2294882771,1,San Miguel,135.0
PH071243000,508.111092451,3,Talibon,7.0
PH101803000,0.0,1,Mahinog,2.0
PH061901000,3744.43785985,5,Cuartero,5611.0
PH061902000,3765.16544827,5,Dao,4815.0
PH061903000,3443.83670697,4,Dumalag,5486.0
PH061904000,4401.49764294,5,Dumarao,5601.0
PH061905000,3736.06544014,5,Ivisan,4050.0
PH061906000,3844.96069925,5,Jamindan,6910.0
PH061907000,4363.78673528,5,Ma-Ayon,4039.0
PH061908000,4791.34218294,5,Mambusao,4272.0
PH061909000,7447.54015111,5,Panay,6264.0
PH061910000,4641.04281461,5,Panitan,7974.0
PH061911000,7826.76775298,5,Pilar,4187.0
