M_Code,Predicted Houses Damaged
PH060401000,4995.96747718
PH060402000,4833.69458926
PH060608000,24.3592471013
PH060609000,1663.2736161
PH060610000,1290.46831473
PH060611000,3089.52016382
PH060612000,367.825968948
PH060613000,375.228201302
PH060614000,447.027011925
PH060615000,3626.70828213
PH060403000,4893.22676709
PH060404000,4589.08481493
PH060405000,2329.77841084
PH060406000,4179.74357084
PH060407000,4654.31682545
PH060408000,3321.25284252
PH060409000,5122.60225904
PH060410000,4131.64937725
PH060411000,3815.41210152
PH060412000,1097.20694575
PH060413000,4938.12146406
PH060414000,1937.94050474
PH060415000,6095.81182372
PH060416000,2595.90737634
PH060417000,1522.48117551
PH050515000,465.646364992
PH050516000,0.0
PH060601000,0.0
PH060602000,1745.61677435
PH060603000,48.3362550783
PH060604000,957.349289474
PH060605000,1755.01394703
PH060606000,5073.54261252
PH060616000,324.738149276
PH060617000,2885.87200933
PH060607000,16.3144519814
PH060618000,533.830177391
PH041003000,0.0
PH086401000,425.780516564
PH086402000,1010.88715054
PH086403000,804.089136923
PH086404000,537.469989196
PH086405000,569.923295971
PH086406000,144.214128199
PH086419000,37.4159769266
PH086407000,46.2751992866
PH086408000,119.0325854
PH072248000,4537.46772024
PH072249000,2193.86904342
PH072250000,689.197404443
PH072252000,2244.14992114
PH072253000,894.363912879
PH175201000,0.0
PH175202000,0.0
PH175203000,105.493788664
PH175204000,764.550248299
PH175205000,0.0
PH175207000,71.1860850737
PH041013000,0.0
PH087801000,169.686014067
PH087802000,1002.52439455
PH087803000,1097.29525998
PH087804000,642.698514877
PH087805000,174.17779033
PH087806000,291.721889692
PH087807000,398.609871758
PH087808000,201.549992395
PH071209000,733.002201678
PH071217000,134.098713302
PH071220000,0.0
PH071224000,205.286595778
PH071238000,84.4450305466
PH071243000,136.169788879
PH101803000,122.428376882
PH061901000,3560.11025081
PH061902000,3398.01137526
PH061903000,3684.05877625
PH061904000,5568.77641888
PH061905000,3428.02981313
PH061906000,4875.72037982
PH061907000,5817.45336994
PH061908000,3776.09791789
PH061909000,8118.85067164
PH061910000,4444.89893218
PH061911000,7325.10218195
PH061912000,7356.17040131
PH061913000,3920.70645058
PH061914000,11758.8091406
PH061915000,3524.37416428
PH061916000,3740.40618422
PH061917000,7115.45044523
PH052003000,8.81925495293
PH072206000,753.525511464
PH072209000,11736.060469
PH072211000,9503.66412921
PH072213000,2176.52386985
PH072215000,427.045669634
PH072216000,519.01428112
PH072218000,136.233584207
PH072221000,10645.8374372
PH072225000,274.864917251
PH072228000,6078.83099694
PH072231000,7259.74968918
PH072232000,167.735083102
PH072234000,633.565257634
PH072236000,1681.0264722
PH072238000,1417.17553837
PH072242000,2526.99821484
PH072243000,8188.99277563
PH072246000,412.141116082
PH072247000,1186.78883529
PH168501000,651.866525852
PH168502000,261.479148638
PH168503000,726.403846791
PH168504000,511.120838298
PH168505000,756.528523369
PH168506000,858.653169148
PH168507000,638.809060107
PH082601000,0.0
PH082602000,1013.86457743
PH082603000,408.025611036
PH082604000,196.661658291
PH082605000,260.43870916
PH082606000,486.518240017
PH082607000,706.62106715
PH082608000,1612.00015562
PH082609000,6258.62626833
PH082610000,412.670554097
PH082612000,824.708979757
PH082613000,649.048226007
PH082615000,526.6232314
PH082616000,1719.69803591
PH082618000,1006.87859738
PH082619000,1296.86413942
PH082620000,42.9584796644
PH082621000,45.4820123643
PH082622000,0.0
PH082623000,59.4598938218
PH067901000,253.051959272
PH067902000,62.0273261933
PH067903000,0.0
PH067904000,88.1829299547
PH063001000,7002.09228915
PH063002000,499.83069659
PH063003000,905.048932798
PH063004000,400.797258036
PH063005000,4782.99622496
PH063006000,1377.45648473
PH063007000,693.262345362
PH063008000,2050.5595566
PH063009000,3753.9518283
PH063010000,1582.84515742
PH063012000,441.338755703
PH063013000,3369.8688883
PH063014000,7745.44288519
PH063015000,6196.36178677
PH063016000,736.063042139
PH063017000,1520.85545735
PH063018000,632.920338818
PH063019000,5966.46087828
PH063020000,0.0
PH063021000,228.736306333
PH063022000,2417.52764937
PH063023000,914.934655746
PH063025000,3092.77672396
PH063026000,191.44650003
PH063027000,4275.16768913
PH063028000,447.411699617
PH063029000,603.83806411
PH063030000,6.00110474293
PH063031000,383.303236152
PH063032000,147.650890022
PH063035000,6746.77568815
PH063036000,0.0
PH063037000,553.525398099
PH063038000,3958.28487785
PH063039000,1927.57737174
PH063040000,77.9982080368
PH063041000,164.174976651
PH063042000,2245.36986503
PH063043000,361.684285475
PH063044000,7042.70575203
PH063046000,237.060673138
PH063047000,111.384631234
PH083701000,5570.73409722
PH083702000,5651.18683699
PH083703000,5739.10056458
PH083705000,1706.97233828
PH083706000,1755.54926183
PH083707000,265.198546374
PH083708000,5778.60170715
PH083710000,8067.28145903
PH083713000,841.715020074
PH083714000,2838.31063675
PH083715000,4965.20900163
PH083717000,5043.30394525
PH083718000,3692.22823304
PH083719000,435.053484436
PH083720000,406.644310302
PH083721000,503.544640147
PH083722000,3582.81576655
PH083723000,6063.20418795
PH083724000,2244.99582837
PH083725000,3162.34311726
PH083726000,8928.8131582
PH083728000,2789.36432719
PH083729000,3238.30549461
PH083730000,3224.04662849
PH083731000,1316.68503036
PH083733000,3521.57206096
PH083734000,233.876242707
PH083735000,3071.33422985
PH083736000,3828.5862059
PH083738000,10723.0895468
PH083739000,9130.3634352
PH083740000,7969.09164813
PH083741000,3254.99298157
PH083742000,1678.88962012
PH083743000,1136.50936896
PH083744000,2486.07059389
PH083745000,4951.01996562
PH083746000,2886.28072958
PH083747000,5005.16896931
PH083748000,12254.3415147
PH083749000,2782.73054042
PH083750000,1602.13987129
PH083751000,7082.23741744
PH174001000,13.4171404709
PH174003000,34.5018001628
PH054102000,159.733602541
PH054104000,16.5342054817
PH054105000,343.679774361
PH054106000,371.364342589
PH054109000,210.2709028
PH054112000,145.111798479
PH054115000,119.421914514
PH054116000,389.399737181
PH054120000,80.2025896454
PH064501000,1768.16547765
PH064502000,0.0
PH064503000,0.0
PH064504000,2039.45530105
PH064505000,1726.57814578
PH064507000,0.0
PH064509000,2221.68237251
PH064511000,64.8172883006
PH064513000,46.6798050835
PH064516000,0.0
PH064517000,1010.41429954
PH064518000,925.912733177
PH064520000,0.0
PH064521000,0.0
PH064522000,0.0
PH064523000,2176.16191467
PH064532000,536.180510167
PH064524000,0.0
PH064525000,0.0
PH064526000,1420.11068708
PH064527000,0.0
PH064528000,557.114216518
PH064529000,968.638491935
PH064530000,0.0
PH064531000,1881.32129272
PH074603000,0.0
PH074611000,315.652659505
PH074612000,820.860488289
PH074624000,829.721885053
PH175101000,410.824034997
PH175102000,196.416643916
PH175103000,0.0
PH175104000,0.0
PH175105000,553.569065323
PH175107000,0.0
PH175108000,39.8520890134
PH175110000,3.83038187995
PH175208000,130.982812682
PH175210000,95.4436859874
PH175211000,0.0
PH175214000,0.0
PH175302000,452.884428172
PH175307000,1945.67107249
PH175309000,4011.04429198
PH175322000,1521.31558014
PH175310000,0.0
PH175312000,84.1447249751
PH175313000,587.77794808
PH175314000,0.0
PH175316000,550.24317093
PH175318000,0.0
PH175901000,88.42181915
PH175903000,0.0
PH175904000,0.0
PH175905000,0.0
PH175906000,0.0
PH175916000,0.0
PH175907000,102.940594483
PH175909000,0.0
PH175910000,91.3705451965
PH175911000,55.0994218285
PH175913000,4.93840800561
PH175914000,609.947267224
PH175915000,779.03403344
PH175917000,0.0
PH086001000,174.747776972
PH086005000,0.0
PH086011000,45.1083374678
PH086022000,0.0
PH086013000,495.148249172
PH086015000,47.3912148478
PH086017000,1561.72847801
PH086018000,212.742618239
PH086019000,709.437573377
PH056208000,189.758120731
PH056212000,648.556281465
PH056213000,259.886878008
PH056215000,99.3084239577
PH056216000,548.120776167
PH086409000,228.906978159
PH086410000,0.0
PH086411000,37.8498435463
PH086412000,761.906422407
PH086413000,132.352803739
PH086414000,432.217756309
PH086415000,75.1430786008
PH086416000,871.035833472
PH086417000,1659.56021486
PH086418000,644.420491077
PH166704000,282.078546597
PH166707000,187.271339985
PH166708000,138.473105634
PH166716000,101.991940668
PH166718000,101.991940668
PH166719000,0.0
PH166722000,97.8982186242
PH166812000,182.890262124
