M_Code,Predicted People Affected
PH160314000,6995.93543752
PH060401000,22262.5557876
PH060402000,23097.4223147
PH060608000,11243.3965608
PH060609000,20217.6066436
PH060610000,21410.0609681
PH060611000,23717.7905383
PH060612000,16725.1606286
PH060613000,17629.0789692
PH060614000,24209.7906636
PH060615000,22866.7994006
PH160203000,10537.5631473
PH160204000,5863.47674783
PH160205000,6536.7326716
PH160206000,6152.8743663
PH160210000,8480.58123039
PH160211000,6138.59958497
PH060403000,25595.6259554
PH060404000,23879.8852709
PH060405000,15343.1921498
PH060406000,29280.6995536
PH060407000,49121.9073563
PH060408000,26291.6554768
PH060409000,29388.895287
PH060410000,27233.227032
PH060411000,20701.9926058
PH060412000,31343.9354107
PH060413000,26233.9941169
PH060414000,26437.2121336
PH060415000,33467.866665
PH060416000,34193.4405165
PH060417000,16032.0776176
PH050501000,7792.69980989
PH050502000,10022.8225787
PH050503000,15198.7062265
PH050504000,11480.9639966
PH050505000,6087.36292141
PH050506000,12414.1863839
PH050507000,6282.07332076
PH050508000,15481.4119263
PH050509000,11707.6592465
PH050511000,6291.22452467
PH050512000,9449.08950912
PH050513000,12093.6010681
PH050514000,9773.87007413
PH050515000,5685.34524672
PH050516000,6778.38790299
PH050517000,16543.5436799
PH050518000,6566.51643736
PH060601000,3923.20506378
PH060602000,17848.8328726
PH060603000,6330.07566148
PH060604000,28681.0287466
PH060605000,20524.2904379
PH060606000,31374.4246183
PH060616000,18427.9260427
PH060617000,21216.027589
PH060607000,6749.42826173
PH060618000,23332.5102857
PH041001000,5441.01782014
PH041002000,2928.58761851
PH041003000,8461.76844815
PH045618000,4336.76447694
PH045619000,5333.59389411
PH045622000,11096.8565399
PH045627000,6335.0275269
PH045628000,7466.32281548
PH045635000,2346.88414935
PH086401000,9888.66950423
PH086402000,22960.1014495
PH086403000,18087.6029754
PH086404000,12759.61062
PH086405000,8820.26647528
PH086406000,8866.10448068
PH086419000,5268.64516673
PH086407000,18889.1101405
PH086408000,5717.9838785
PH041005000,85641.3068753
PH041006000,4594.38620985
PH041007000,7737.76702874
PH041008000,7943.58943119
PH072248000,29081.9063184
PH072249000,21600.9514041
PH072250000,119560.402767
PH072251000,31163.661567
PH072253000,15639.6547148
PH175201000,6702.24284321
PH175202000,7490.86604824
PH175203000,9868.01526526
PH175204000,12878.1697516
PH175205000,13077.2714836
PH175206000,7028.07537872
PH175207000,9868.01526526
PH045649000,269.79398171
PH041009000,13809.3253221
PH041010000,4737.66737205
PH041012000,11132.3104041
PH041013000,5555.64023361
PH041014000,51085.2875222
PH041015000,5496.09971952
PH041016000,11581.5216664
PH041019000,12354.3603802
PH041020000,6188.70757492
PH041021000,14032.3855104
PH041022000,6615.93018932
PH041024000,4799.88638846
PH041025000,5837.59161149
PH041026000,8329.24778066
PH041027000,4808.31917434
PH041029000,11399.3069437
PH041032000,2696.40112355
PH041033000,4480.0219617
PH041034000,5849.87189524
PH087801000,11448.4242435
PH087802000,12925.2404552
PH087803000,19857.642763
PH087804000,16348.2917272
PH087805000,11303.3500334
PH087806000,16057.8407255
PH087807000,8393.22208154
PH087808000,27467.2802688
PH071201000,3482.92320164
PH071202000,5700.62492792
PH071203000,4498.62085971
PH071204000,4204.16773076
PH071205000,3813.24026842
PH071206000,3760.23572427
PH071207000,4528.28834997
PH071248000,7595.9368496
PH071208000,4449.22569914
PH071209000,6802.12354309
PH071210000,5617.83719991
PH071211000,5772.14904445
PH071212000,8608.55151218
PH071213000,4807.89223979
PH071214000,5000.96878724
PH071215000,3258.51236718
PH071216000,4496.46100292
PH071217000,4506.00384681
PH071218000,3922.62303284
PH071219000,4351.31671337
PH071220000,5473.94371355
PH071221000,5169.72017287
PH071222000,5006.4710094
PH071223000,7507.2699651
PH071224000,9194.10269974
PH071225000,5524.2037593
PH071226000,6867.80630393
PH071227000,4644.46347799
PH071228000,4092.3975417
PH071229000,4302.90657983
PH071230000,6475.98049222
PH071231000,4197.94068027
PH071232000,4280.47431351
PH071233000,7754.92074758
PH071234000,6221.07787683
PH071235000,6682.07627696
PH071236000,4062.12411725
PH071237000,4528.28834997
PH071238000,5361.81199142
PH071239000,4040.47195076
PH071240000,5915.48829541
PH071241000,3841.89318114
PH071242000,50994.8827703
PH071243000,8774.33105495
PH071244000,4195.60553257
PH071245000,7551.23306705
PH071246000,7806.18071993
PH071247000,5636.33102212
PH051701000,4785.72211139
PH051702000,5518.08718814
PH051703000,5777.51430481
PH051705000,5397.72580342
PH051706000,6730.17000946
PH051716000,12441.7263076
PH051722000,4265.62576521
PH051723000,7812.60594048
PH051727000,6035.14327354
PH051732000,3675.13356159
PH101801000,3930.32717407
PH101802000,2964.32811543
PH101803000,5008.67292847
PH101804000,8972.79609328
PH101805000,3989.04612984
PH061901000,20334.6908247
PH061902000,25613.8011833
PH061903000,23795.392339
PH061904000,30258.4133687
PH061905000,28760.2229323
PH061906000,28278.0280596
PH061907000,41151.243829
PH061908000,34267.1668879
PH061909000,39286.4503607
PH061910000,32976.8315508
PH061911000,33450.3358506
PH061912000,33962.557012
PH061913000,27588.1101711
PH061914000,77294.5637619
PH061915000,22008.1056075
